CustomerID,CustomerName,Region,JoinDate
1,Customer_1,East,2020-01-01
2,Customer_2,West,2020-01-16
3,Customer_3,North,2020-01-31
4,Customer_4,East,2020-02-15
5,Customer_5,East,2020-03-01
6,Customer_6,West,2020-03-16
7,Customer_7,North,2020-03-31
8,Customer_8,North,2020-04-15
9,Customer_9,East,2020-04-30
10,Customer_10,South,2020-05-15
11,Customer_11,East,2020-05-30
12,Customer_12,East,2020-06-14
13,Customer_13,East,2020-06-29
14,Customer_14,East,2020-07-14
15,Customer_15,West,2020-07-29
16,Customer_16,North,2020-08-13
17,Customer_17,West,2020-08-28
18,Customer_18,West,2020-09-12
19,Customer_19,West,2020-09-27
20,Customer_20,East,2020-10-12
21,Customer_21,South,2020-10-27
22,Customer_22,North,2020-11-11
23,Customer_23,South,2020-11-26
24,Customer_24,West,2020-12-11
25,Customer_25,West,2020-12-26
26,Customer_26,South,2021-01-10
27,Customer_27,South,2021-01-25
28,Customer_28,South,2021-02-09
29,Customer_29,West,2021-02-24
30,Customer_30,West,2021-03-11
31,Customer_31,North,2021-03-26
32,Customer_32,North,2021-04-10
33,Customer_33,West,2021-04-25
34,Customer_34,South,2021-05-10
35,Customer_35,South,2021-05-25
36,Customer_36,North,2021-06-09
37,Customer_37,West,2021-06-24
38,Customer_38,North,2021-07-09
39,Customer_39,North,2021-07-24
40,Customer_40,East,2021-08-08
41,Customer_41,East,2021-08-23
42,Customer_42,East,2021-09-07
43,Customer_43,South,2021-09-22
44,Customer_44,West,2021-10-07
45,Customer_45,West,2021-10-22
46,Customer_46,West,2021-11-06
47,Customer_47,West,2021-11-21
48,Customer_48,East,2021-12-06
49,Customer_49,South,2021-12-21
50,Customer_50,South,2022-01-05
