ProductID,ProductName,Category,Price
1,Product_1,Home,251
2,Product_2,Clothing,274
3,Product_3,Home,355
4,Product_4,Sports,62
5,Product_5,Home,395
6,Product_6,Sports,349
7,Product_7,Sports,101
8,Product_8,Electronics,376
9,Product_9,Home,453
10,Product_10,Electronics,464
11,Product_11,Home,437
12,Product_12,Home,273
13,Product_13,Electronics,440
14,Product_14,Electronics,44
15,Product_15,Home,215
16,Product_16,Clothing,90
17,Product_17,Sports,429
18,Product_18,Electronics,59
19,Product_19,Sports,369
20,Product_20,Clothing,397
